"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Sep 13 20:30:12 GMT 2025","Sat Sep 13 20:30:12 GMT 2025","0","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Sep 13 20:30:16 GMT 2025","Sat Sep 13 20:30:18 GMT 2025","1341","tests.pytest","test_parametrize","","","","Attempt to login with email:   , password: password",""
"broken","Sat Sep 13 20:30:10 GMT 2025","Sat Sep 13 20:30:12 GMT 2025","1532","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"broken","Sat Sep 13 20:30:12 GMT 2025","Sat Sep 13 20:30:12 GMT 2025","0","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Sat Sep 13 20:30:12 GMT 2025","Sat Sep 13 20:30:12 GMT 2025","0","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Sep 13 20:30:13 GMT 2025","Sat Sep 13 20:30:15 GMT 2025","1903","tests.pytest","test_parametrize","","","","Attempt to login with email: user.name@gmail.com, password: password",""
"passed","Sat Sep 13 20:30:15 GMT 2025","Sat Sep 13 20:30:16 GMT 2025","1528","tests.pytest","test_parametrize","","","","Attempt to login with email: user.name@gmail.com, password:   ",""
"passed","Sat Sep 13 20:30:10 GMT 2025","Sat Sep 13 20:30:12 GMT 2025","1388","LMS system","Authentication","Authorization","","","Attempt to login with email: user.name@gmail.com, password:   ",""
"passed","Sat Sep 13 20:30:08 GMT 2025","Sat Sep 13 20:30:10 GMT 2025","2036","LMS system","Authentication","Authorization","","","Attempt to login with email:   , password: password",""
"broken","Sat Sep 13 20:30:16 GMT 2025","Sat Sep 13 20:30:16 GMT 2025","0","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Sep 13 20:30:08 GMT 2025","Sat Sep 13 20:30:10 GMT 2025","1940","LMS system","Authentication","Authorization","","","Attempt to login with email: user.name@gmail.com, password: password",""
"passed","Sat Sep 13 20:30:12 GMT 2025","Sat Sep 13 20:30:16 GMT 2025","3461","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
